subject,Activity_id,Activity,split,tBodyAccMag-mean(),tBodyAccJerkMag-mean(),tBodyGyroMag-mean(),tBodyGyroJerkMag-mean(),tGravityAccMag-mean(),fBodyAccMag-mean()
1,4,SITTING,train,-0.98754731,-0.99413667,-0.98075358,-0.99779527,-0.98754731,-0.9933422
1,4,SITTING,train,-0.99012264,-0.99493458,-0.98832457,-0.99748502,-0.99012264,-0.99472515
1,4,SITTING,train,-0.99302412,-0.99568683,-0.99356422,-0.99712892,-0.99302412,-0.99812925
1,4,SITTING,train,-0.99414636,-0.99431393,-0.99465856,-0.99745873,-0.99414636,-0.99760147
1,4,SITTING,train,-0.99354892,-0.99348023,-0.99552574,-0.99758041,-0.99354892,-0.99551766
1,4,SITTING,train,-0.99264098,-0.9950409,-0.99504293,-0.99747144,-0.99264098,-0.99490902
1,4,SITTING,train,-0.99205145,-0.9959885,-0.99441055,-0.99706115,-0.99205145,-0.99634885
1,4,SITTING,train,-0.99147471,-0.99400136,-0.9936703,-0.9970486,-0.99147471,-0.99593391
1,6,LAYING,train,-0.90512291,-0.96035654,-0.77756178,-0.97326441,-0.90512291,-0.87510957
1,6,LAYING,train,-0.98744609,-0.99274198,-0.91521896,-0.99750843,-0.98744609,-0.98218097
1,6,LAYING,train,-0.99798763,-0.99513057,-0.97340095,-0.99775558,-0.99798763,-0.99506057
1,6,LAYING,train,-0.99950449,-0.99665137,-0.98209908,-0.99832501,-0.99950449,-0.99839081
1,6,LAYING,train,-0.99905773,-0.99626463,-0.98441252,-0.99894081,-0.99905773,-0.99773322
1,6,LAYING,train,-0.99742945,-0.99351031,-0.98814549,-0.9987064,-0.99742945,-0.99485336
1,6,LAYING,train,-0.99741966,-0.99320615,-0.99251294,-0.9982823,-0.99741966,-0.99603683
1,6,LAYING,train,-0.99728212,-0.9949283,-0.9959893,-0.99875541,-0.99728212,-0.99390379
1,6,LAYING,train,-0.9957705,-0.9932731,-0.99683171,-0.99906282,-0.9957705,-0.99334705
1,6,LAYING,train,-0.9958683,-0.99125179,-0.99705625,-0.99886744,-0.9958683,-0.99380693
1,6,LAYING,train,-0.99758819,-0.99333114,-0.99661933,-0.99864793,-0.99758819,-0.99629652
1,6,LAYING,train,-0.99786725,-0.99407848,-0.99624004,-0.99853912,-0.99786725,-0.9981129
1,6,LAYING,train,-0.9973188,-0.99366314,-0.99595283,-0.99840939,-0.9973188,-0.99831041
1,6,LAYING,train,-0.72162699,-0.9219028,-0.6073844,-0.95018467,-0.72162699,-0.47786351
1,6,LAYING,train,-0.94290262,-0.98397266,-0.75196917,-0.98912638,-0.94290262,-0.96740935
1,6,LAYING,train,-0.51842779,-0.85561065,-0.59910183,-0.86875596,-0.51842779,-0.40526174
1,6,LAYING,train,-0.36210824,-0.82366323,-0.54709337,-0.83080792,-0.36210824,-0.50202182
1,6,LAYING,train,-0.67636425,-0.94306581,-0.80157467,-0.94608038,-0.67636425,-0.79232273
1,6,LAYING,train,-0.63496006,-0.85112159,-0.71573909,-0.87102635,-0.63496006,-0.71639747
1,6,LAYING,train,-0.062945893,-0.56428225,-0.40112981,-0.67562773,-0.062945893,-0.091821255
1,6,LAYING,train,0.29483896,-0.62540929,-0.48420622,-0.75023599,0.29483896,-0.220785
1,6,LAYING,train,-0.33101576,-0.92047767,-0.73358055,-0.95082172,-0.33101576,-0.49856777
1,6,LAYING,train,-0.84935162,-0.97568945,-0.79201016,-0.98514778,-0.84935162,-0.78142895
1,6,LAYING,train,-0.95078066,-0.98420696,-0.87634272,-0.9900837,-0.95078066,-0.94537225
1,6,LAYING,train,-0.98981335,-0.99420976,-0.95121536,-0.99619712,-0.98981335,-0.99186108
1,6,LAYING,train,-0.99056014,-0.99250833,-0.98737097,-0.99612359,-0.99056014,-0.99330024
1,6,LAYING,train,-0.9923007,-0.99000829,-0.99204765,-0.99653651,-0.9923007,-0.99445429
1,1,WALKING,train,-0.22455962,-0.28942433,-0.034395601,-0.46614969,-0.22455962,-0.16681083
1,1,WALKING,train,-0.12650269,-0.13850122,-0.14093823,-0.38991977,-0.12650269,-0.079277624
1,1,WALKING,train,-0.16010001,-0.19435478,-0.094593563,-0.37415066,-0.16010001,-0.15631258
1,1,WALKING,train,-0.07351308,-0.12948008,-0.049340623,-0.23647406,-0.07351308,-0.10437689
1,1,WALKING,train,-0.04949205,-0.1598686,-0.021410464,-0.22009657,-0.04949205,-0.12319532
1,1,WALKING,train,-0.077394435,-0.2060086,-0.13887531,-0.3038356,-0.077394435,-0.20002501
1,1,WALKING,train,-0.09549311,-0.1466642,-0.19638987,-0.32711536,-0.09549311,-0.14847221
1,1,WALKING,train,-0.11344328,-0.097063034,-0.14638251,-0.30373917,-0.11344328,-0.11082694
1,1,WALKING,train,-0.1696296,-0.28756092,-0.21472204,-0.46434627,-0.1696296,-0.25871717
1,1,WALKING,train,-0.10747234,-0.16292627,-0.17879454,-0.39277622,-0.10747234,-0.16322391
1,1,WALKING,train,-0.12980293,-0.2019714,-0.18656546,-0.38941355,-0.12980293,-0.22227743
1,1,WALKING,train,-0.10480876,-0.15146378,-0.16295412,-0.31433045,-0.10480876,-0.15167709
1,1,WALKING,train,-0.063225767,-0.12198932,-0.075164913,-0.27198253,-0.063225767,-0.15097581
1,1,WALKING,train,-0.017610633,-0.10161814,-0.099273959,-0.27478233,-0.017610633,-0.075130477
1,1,WALKING,train,-0.035592505,-0.051890081,-0.15365965,-0.2996404,-0.035592505,-0.0591392
1,1,WALKING,train,-0.062178356,-0.055646508,-0.12408931,-0.28909867,-0.062178356,-0.12987657
1,1,WALKING,train,-0.072821245,-0.086796765,-0.12638665,-0.27115443,-0.072821245,-0.11533525
1,1,WALKING,train,-0.089840429,-0.11413474,-0.12304422,-0.24979033,-0.089840429,-0.11492539
1,1,WALKING,train,-0.11313628,-0.098014076,-0.091700752,-0.22465346,-0.11313628,-0.14382747
1,1,WALKING,train,-0.20671579,-0.15230543,-0.13599397,-0.30267348,-0.20671579,-0.19711593
1,1,WALKING,train,-0.046277939,-0.096391431,-0.039073593,-0.28645834,-0.046277939,-0.02293362
1,1,WALKING,train,-0.0067882519,-0.07225395,-0.12962864,-0.33515804,-0.0067882519,-0.03944066
1,1,WALKING,train,-0.044258164,-0.10687664,-0.19294622,-0.2998284,-0.044258164,-0.1417754
1,1,WALKING,train,-0.041734145,-0.049040264,-0.11201361,-0.16427708,-0.041734145,-0.046588109
1,1,WALKING,train,-0.083892745,-0.1137836,-0.08864427,-0.20180057,-0.083892745,-0.065555728
1,1,WALKING,train,-0.070705961,-0.087147945,-0.093538752,-0.23656221,-0.070705961,-0.0025289508
1,1,WALKING,train,-0.069540692,-0.14261311,-0.14195426,-0.29604805,-0.069540692,-0.055347995
1,1,WALKING,train,-0.086942954,-0.20374475,-0.21146554,-0.36694566,-0.086942954,-0.16675188
1,1,WALKING,train,-0.064423256,-0.088474992,-0.15839268,-0.29703671,-0.064423256,-0.052787972
1,1,WALKING,train,-0.046465246,-0.046028879,-0.11307203,-0.29347209,-0.046465246,-0.068781145
1,1,WALKING,train,-0.066594317,-0.085681968,-0.10537089,-0.28738884,-0.066594317,-0.20435789
1,1,WALKING,train,-0.10472185,-0.1108178,-0.094159584,-0.25288058,-0.10472185,-0.17183517
1,1,WALKING,train,-0.14610056,-0.1494498,-0.12915323,-0.29020643,-0.14610056,-0.20596282
1,1,WALKING,train,-0.028582068,-0.012743439,0.080741014,-0.24647263,-0.028582068,0.011039192
1,1,WALKING,train,-0.11131172,-0.13280349,-0.088967213,-0.36545773,-0.11131172,-0.11697774
1,1,WALKING,train,-0.12637248,-0.16651819,-0.13205354,-0.32700025,-0.12637248,-0.1929504
1,1,WALKING,train,-0.10568614,-0.17747339,-0.11456656,-0.28505454,-0.10568614,-0.15719815
1,1,WALKING,train,-0.083591,-0.17541493,-0.14382046,-0.29974064,-0.083591,-0.085015447
1,1,WALKING,train,-0.067429345,-0.11932781,-0.17635239,-0.30820062,-0.067429345,-0.18015689
1,1,WALKING,train,-0.12064647,-0.13446971,-0.19818739,-0.33990157,-0.12064647,-0.19108306
1,1,WALKING,train,-0.23741525,-0.26565846,-0.20845692,-0.39309771,-0.23741525,-0.23926092
1,1,WALKING,train,-0.25039364,-0.27551773,-0.2455635,-0.41154256,-0.25039364,-0.24066207
1,1,WALKING,train,-0.24337187,-0.25351855,-0.25894769,-0.41943199,-0.24337187,-0.21126565
1,1,WALKING,train,-0.24631157,-0.23883716,-0.18804021,-0.38627231,-0.24631157,-0.22100186
1,1,WALKING,train,-0.19329251,-0.15097398,-0.084250228,-0.33767732,-0.19329251,-0.20086108
1,1,WALKING,train,-0.1648745,-0.16853477,-0.10205454,-0.35272507,-0.1648745,-0.18776134
1,1,WALKING,train,-0.20649227,-0.24507052,-0.22146274,-0.38624313,-0.20649227,-0.24937848
1,3,WALKING_DOWNSTAIRS,train,-0.17044085,-0.31348196,-0.38014863,-0.45928239,-0.17044085,-0.14707763
1,3,WALKING_DOWNSTAIRS,train,-0.048825749,-0.18847274,-0.3181541,-0.36506094,-0.048825749,-0.053807078
1,3,WALKING_DOWNSTAIRS,train,-0.088540677,-0.16234534,-0.034722567,-0.27607448,-0.088540677,-0.026763659
1,3,WALKING_DOWNSTAIRS,train,-0.098690394,-0.14837988,-0.0017205241,-0.33121028,-0.098690394,0.13857762
1,3,WALKING_DOWNSTAIRS,train,0.028422451,-0.051003762,-0.20791661,-0.36898401,0.028422451,0.24844729
1,3,WALKING_DOWNSTAIRS,train,0.080265708,-0.01073734,0.0084415748,-0.26151775,0.080265708,0.26861036
1,3,WALKING_DOWNSTAIRS,train,-0.025681958,-0.11114242,0.069394797,-0.30103766,-0.025681958,0.15786558
1,3,WALKING_DOWNSTAIRS,train,-0.07035973,-0.20389863,-0.13360978,-0.41581756,-0.07035973,0.010734004
1,3,WALKING_DOWNSTAIRS,train,-0.077787454,-0.19375257,-0.25489683,-0.38640437,-0.077787454,-0.054364745
1,3,WALKING_DOWNSTAIRS,train,0.13335858,0.032565846,-0.066701101,-0.21706544,0.13335858,0.37743229
1,3,WALKING_DOWNSTAIRS,train,0.12220578,0.019978718,-0.11303959,-0.26009906,0.12220578,0.2758551
1,3,WALKING_DOWNSTAIRS,train,0.14755443,0.041938945,0.13104171,-0.22040202,0.14755443,0.27456719
1,3,WALKING_DOWNSTAIRS,train,0.10014998,-0.029840701,0.16431371,-0.19962115,0.10014998,0.27132415
1,3,WALKING_DOWNSTAIRS,train,0.12090611,-0.091002161,0.030720346,-0.19112781,0.12090611,0.007817413
1,3,WALKING_DOWNSTAIRS,train,0.073107976,-0.12276729,0.017206344,-0.23817602,0.073107976,0.15669004
1,3,WALKING_DOWNSTAIRS,train,0.0891215,-0.01036468,-0.0083430827,-0.28761534,0.0891215,0.19198834
1,3,WALKING_DOWNSTAIRS,train,0.17216127,-0.026174163,-0.07848939,-0.35978109,0.17216127,0.113188
1,3,WALKING_DOWNSTAIRS,train,0.060417914,-0.10010991,-0.10445792,-0.35624769,0.060417914,0.0481611
1,3,WALKING_DOWNSTAIRS,train,0.059491854,-0.1277886,-0.11579886,-0.34102449,0.059491854,0.053860651
1,3,WALKING_DOWNSTAIRS,train,-0.018090242,-0.060948522,0.11059856,-0.28283089,-0.018090242,-0.0053009708
1,3,WALKING_DOWNSTAIRS,train,0.071970206,0.01436136,0.14053066,-0.17350353,0.071970206,0.083741909
1,3,WALKING_DOWNSTAIRS,train,0.040168399,-0.1478736,-0.014713381,-0.3256857,0.040168399,0.076517098
1,3,WALKING_DOWNSTAIRS,train,-0.059902458,-0.1667755,-0.050395776,-0.36658507,-0.059902458,0.0018766667
1,3,WALKING_DOWNSTAIRS,train,-0.017039858,-0.12028331,-0.095271912,-0.33874786,-0.017039858,-0.039549145
1,3,WALKING_DOWNSTAIRS,train,-0.015987782,-0.14706335,-0.14273082,-0.43260695,-0.015987782,-0.098982247
1,2,WALKING_UPSTAIRS,train,-0.14452122,-0.46148363,-0.21757019,-0.55426811,-0.14452122,-0.36359019
1,2,WALKING_UPSTAIRS,train,-0.18075029,-0.49228098,-0.28230236,-0.58040867,-0.18075029,-0.43064914
1,2,WALKING_UPSTAIRS,train,-0.14245791,-0.52451544,-0.050825995,-0.60543109,-0.14245791,-0.40260435
1,2,WALKING_UPSTAIRS,train,-0.11472258,-0.48636301,0.01382027,-0.57979101,-0.11472258,-0.27377158
1,2,WALKING_UPSTAIRS,train,-0.11354341,-0.44091353,-0.1612053,-0.59808511,-0.11354341,-0.28953856
1,2,WALKING_UPSTAIRS,train,-0.1609031,-0.50226961,-0.23450335,-0.62879004,-0.1609031,-0.37070225
1,2,WALKING_UPSTAIRS,train,-0.15544653,-0.47607678,-0.21470421,-0.56066451,-0.15544653,-0.38352427
1,2,WALKING_UPSTAIRS,train,-0.13659556,-0.4445107,-0.15770558,-0.551105,-0.13659556,-0.43319269
1,2,WALKING_UPSTAIRS,train,-0.088105584,-0.39356298,-0.21782907,-0.5670185,-0.088105584,-0.25736165
1,2,WALKING_UPSTAIRS,train,-0.15356809,-0.48220575,-0.25776972,-0.56211832,-0.15356809,-0.39802363
1,2,WALKING_UPSTAIRS,train,-0.1271837,-0.46139921,-0.0043172015,-0.53946255,-0.1271837,-0.4295266
1,2,WALKING_UPSTAIRS,train,-0.13258213,-0.4488861,0.015006792,-0.58231597,-0.13258213,-0.44426029
1,2,WALKING_UPSTAIRS,train,-0.2109106,-0.53499132,-0.19831651,-0.65273773,-0.2109106,-0.41305606
1,2,WALKING_UPSTAIRS,train,-0.16248997,-0.50257789,-0.24112709,-0.62252988,-0.16248997,-0.36979867
1,2,WALKING_UPSTAIRS,train,-0.19378591,-0.5123676,-0.21674492,-0.64719475,-0.19378591,-0.42693423
1,2,WALKING_UPSTAIRS,train,-0.2642458,-0.58322676,-0.18291195,-0.6716453,-0.2642458,-0.47532168
1,2,WALKING_UPSTAIRS,train,-0.23580451,-0.5954524,-0.29434677,-0.67423438,-0.23580451,-0.45161404
1,2,WALKING_UPSTAIRS,train,-0.1196104,-0.50544032,-0.072142793,-0.66902467,-0.1196104,-0.48149337
1,2,WALKING_UPSTAIRS,train,-0.14393494,-0.46105393,-0.20162108,-0.63772667,-0.14393494,-0.3463119
1,2,WALKING_UPSTAIRS,train,-0.11590404,-0.46484668,-0.0078285619,-0.61252911,-0.11590404,-0.27950184
1,2,WALKING_UPSTAIRS,train,-0.11324947,-0.49928274,0.018036168,-0.63260699,-0.11324947,-0.38787689
1,2,WALKING_UPSTAIRS,train,-0.17019526,-0.49347618,-0.26585721,-0.64698464,-0.17019526,-0.41050428
1,2,WALKING_UPSTAIRS,train,-0.19962581,-0.51460481,-0.31658604,-0.65996471,-0.19962581,-0.37520305
1,2,WALKING_UPSTAIRS,train,-0.1506328,-0.46366681,-0.18870131,-0.62687474,-0.1506328,-0.25885017
1,2,WALKING_UPSTAIRS,train,-0.18524783,-0.50570964,-0.16204898,-0.65568852,-0.18524783,-0.35587484
1,2,WALKING_UPSTAIRS,train,-0.19233501,-0.50538152,-0.20589406,-0.67013244,-0.19233501,-0.21462969
1,5,STANDING,train,-0.92460685,-0.98762595,-0.88342499,-0.98847533,-0.92460685,-0.93312992
1,5,STANDING,train,-0.96107654,-0.9908447,-0.94810622,-0.99037767,-0.96107654,-0.97204556
1,5,STANDING,train,-0.97955082,-0.99045171,-0.964018,-0.99168848,-0.97955082,-0.98762353
1,5,STANDING,train,-0.97696384,-0.98267787,-0.95344151,-0.98442333,-0.97696384,-0.97358718
1,5,STANDING,train,-0.96276865,-0.98190103,-0.95091631,-0.97992228,-0.96276865,-0.97119809
1,5,STANDING,train,-0.97114685,-0.98739953,-0.97508334,-0.98817154,-0.97114685,-0.97336505
1,5,STANDING,train,-0.98707568,-0.99024882,-0.98850476,-0.99418817,-0.98707568,-0.98484535
1,5,STANDING,train,-0.99407761,-0.9958991,-0.99241647,-0.99709175,-0.99407761,-0.99363921
1,5,STANDING,train,-0.9926817,-0.98990945,-0.99209286,-0.99321044,-0.9926817,-0.98798764
1,5,STANDING,train,-0.99028866,-0.98697273,-0.9923017,-0.99343112,-0.99028866,-0.98692924
1,5,STANDING,train,-0.99416937,-0.99325987,-0.99509982,-0.99762068,-0.99416937,-0.99110808
1,5,STANDING,train,-0.99491692,-0.99532568,-0.99347724,-0.99763151,-0.99491692,-0.99398819
1,5,STANDING,train,-0.99161808,-0.99343225,-0.9823054,-0.99591913,-0.99161808,-0.99440443
1,5,STANDING,train,-0.98993607,-0.9918442,-0.97782322,-0.99278509,-0.98993607,-0.99122268
1,5,STANDING,train,-0.88409577,-0.98659153,-0.85045354,-0.9859914,-0.88409577,-0.90783818
1,5,STANDING,train,-0.97351585,-0.99089099,-0.93031348,-0.99501139,-0.97351585,-0.97050596
1,5,STANDING,train,-0.98803599,-0.9950179,-0.97350862,-0.99694209,-0.98803599,-0.99079038
1,5,STANDING,train,-0.99461972,-0.99503169,-0.98739895,-0.99660677,-0.99461972,-0.99553137
1,5,STANDING,train,-0.98900897,-0.99315295,-0.9882832,-0.99691287,-0.98900897,-0.99360814
1,5,STANDING,train,-0.99036319,-0.99597532,-0.99232079,-0.99771168,-0.99036319,-0.99500993
1,5,STANDING,train,-0.99552431,-0.99668601,-0.99330726,-0.99797896,-0.99552431,-0.9979276
1,5,STANDING,train,-0.99902593,-0.99824461,-0.9945678,-0.99819063,-0.99902593,-0.99846386
1,5,STANDING,train,-0.99950128,-0.99697299,-0.99592751,-0.99811229,-0.99950128,-0.99921518
1,5,STANDING,train,-0.99577375,-0.99382101,-0.99371543,-0.99750468,-0.99577375,-0.99655445
1,5,STANDING,train,-0.99666705,-0.99457398,-0.99274525,-0.99682842,-0.99666705,-0.99555025
1,5,STANDING,train,-0.99767632,-0.9961445,-0.99357045,-0.99737446,-0.99767632,-0.99645498
1,4,SITTING,train,-0.8395095,-0.98487886,-0.80327462,-0.99288547,-0.8395095,-0.75883323
1,4,SITTING,train,-0.95555884,-0.99214795,-0.87682286,-0.99670494,-0.95555884,-0.94892928
1,4,SITTING,train,-0.9898885,-0.99064746,-0.94807417,-0.99729632,-0.9898885,-0.99093274
1,4,SITTING,train,-0.99587748,-0.99006731,-0.98508465,-0.99774866,-0.99587748,-0.9919032
1,4,SITTING,train,-0.99663697,-0.99124727,-0.99334572,-0.99834102,-0.99663697,-0.99387229
1,4,SITTING,train,-0.99731978,-0.99205834,-0.99362369,-0.99839061,-0.99731978,-0.99572164
1,4,SITTING,train,-0.9971095,-0.99316844,-0.99615028,-0.99776817,-0.9971095,-0.99729456
1,4,SITTING,train,-0.99824894,-0.9950298,-0.99682197,-0.99721137,-0.99824894,-0.99841538
1,4,SITTING,train,-0.99916669,-0.99495393,-0.99750762,-0.99703888,-0.99916669,-0.99735323
1,4,SITTING,train,-0.99779387,-0.99442617,-0.9983859,-0.99778715,-0.99779387,-0.99754241
1,4,SITTING,train,-0.99723393,-0.99488825,-0.99820887,-0.99836329,-0.99723393,-0.9978943
1,6,LAYING,train,-0.91435757,-0.97559993,-0.74008217,-0.98435199,-0.91435757,-0.9381927
1,6,LAYING,train,-0.97177708,-0.9933907,-0.88895775,-0.99491221,-0.97177708,-0.96679275
1,6,LAYING,train,-0.99803183,-0.99367351,-0.96921163,-0.99703272,-0.99803183,-0.9948453
1,6,LAYING,train,-0.99702358,-0.99125355,-0.98337626,-0.99720602,-0.99702358,-0.9936187
1,6,LAYING,train,-0.99655566,-0.99235113,-0.98188004,-0.99797179,-0.99655566,-0.9956167
1,6,LAYING,train,-0.99781183,-0.99540573,-0.98638745,-0.99765311,-0.99781183,-0.99820593
1,6,LAYING,train,-0.99762628,-0.99405126,-0.99008358,-0.99713962,-0.99762628,-0.99656067
1,6,LAYING,train,-0.99708723,-0.9916359,-0.99478454,-0.99803998,-0.99708723,-0.99445588
1,6,LAYING,train,-0.99737407,-0.99322192,-0.9946664,-0.99774266,-0.99737407,-0.99712174
1,6,LAYING,train,-0.99798029,-0.99445258,-0.99503015,-0.9974564,-0.99798029,-0.99856976
1,6,LAYING,train,-0.99806665,-0.99489391,-0.9957328,-0.99825122,-0.99806665,-0.99692833
1,6,LAYING,train,-0.99790544,-0.99666354,-0.99571593,-0.99809252,-0.99790544,-0.99743494
1,4,SITTING,train,-0.84176045,-0.97599953,-0.63324289,-0.98610504,-0.84176045,-0.86509202
1,4,SITTING,train,-0.96131281,-0.98962553,-0.77566767,-0.9957949,-0.96131281,-0.98005289
1,4,SITTING,train,-0.97865782,-0.99352627,-0.9060337,-0.9967638,-0.97865782,-0.98674248
1,4,SITTING,train,-0.98813158,-0.99443976,-0.97284137,-0.99729631,-0.98813158,-0.9911688
1,4,SITTING,train,-0.99434832,-0.99126594,-0.98343105,-0.99734411,-0.99434832,-0.99076137
1,4,SITTING,train,-0.99223301,-0.99114741,-0.98630788,-0.99744134,-0.99223301,-0.99118871
1,4,SITTING,train,-0.99244845,-0.99445797,-0.98791917,-0.99806289,-0.99244845,-0.99474731
1,4,SITTING,train,-0.99655354,-0.99816046,-0.99218213,-0.99813807,-0.99655354,-0.99876761
1,4,SITTING,train,-0.99553672,-0.99789348,-0.99651205,-0.99798872,-0.99553672,-0.99719571
1,4,SITTING,train,-0.99459017,-0.99716187,-0.99515513,-0.99782943,-0.99459017,-0.99791284
1,4,SITTING,train,-0.99275076,-0.99746652,-0.99540808,-0.99768779,-0.99275076,-0.9973637
1,4,SITTING,train,-0.98908857,-0.99346153,-0.98713799,-0.99519522,-0.98908857,-0.99363329
1,6,LAYING,train,-0.027508362,-0.742861,-0.38195459,-0.70838478,-0.027508362,-0.36346041
1,6,LAYING,train,-0.47948386,-0.88880599,-0.71786906,-0.87959102,-0.47948386,-0.37994767
1,6,LAYING,train,-0.90848825,-0.96977274,-0.82800989,-0.96962031,-0.90848825,-0.93795977
1,6,LAYING,train,-0.83461265,-0.97365752,-0.83672107,-0.97227927,-0.83461265,-0.89113266
1,6,LAYING,train,-0.86715221,-0.98525868,-0.91034309,-0.98289683,-0.86715221,-0.88532525
1,6,LAYING,train,-0.96875933,-0.98915485,-0.96911972,-0.99038924,-0.96875933,-0.97166482
1,6,LAYING,train,-0.97634025,-0.99064473,-0.973355,-0.99310466,-0.97634025,-0.98781539
1,6,LAYING,train,-0.97497252,-0.99264565,-0.98063855,-0.99559615,-0.97497252,-0.98850581
1,6,LAYING,train,-0.90892854,-0.9885357,-0.93141727,-0.9905289,-0.90892854,-0.84562397
1,6,LAYING,train,-0.82300481,-0.9870433,-0.91085919,-0.98986372,-0.82300481,-0.92483605
1,6,LAYING,train,-0.8716271,-0.99032317,-0.94897412,-0.99312553,-0.8716271,-0.85175682
1,1,WALKING,train,-0.26994724,-0.30629079,-0.29032084,-0.37752385,-0.26994724,-0.30477768
1,1,WALKING,train,-0.23588079,-0.23311462,-0.2775857,-0.36183863,-0.23588079,-0.14046439
1,1,WALKING,train,-0.22840374,-0.2293747,-0.27181215,-0.34594948,-0.22840374,-0.22953345
1,1,WALKING,train,-0.18145913,-0.15276088,-0.27214443,-0.31490151,-0.18145913,-0.16922613
